Word(s),Spoken Form (If Different)
admin
app
BestPractice,best practice
BestPractice Advisory,best practice advisory
BestPractice Advisories,best practice advisories
BPA
BPAs
Busey
Cisco
Citrix
comments,comets
consult
Costco
COVID
Data Courier,data career
Data Courier,data courier
Data Courier,date a career
Datalink,data link
DNS
Enrica,en ria
Epic,epic
EpicCare,epic care
EpicCare Ambulatory,epic care ambulatory
Fang,fung
Fang,funng
Furrball,fable
Fantastical,fantastic to tell
grouper
go-live,go live
Greco
hepatitis C,hepatitis see
Home Assistant,home assistant
Hyperspace,hyperspace
iPad,i pat
Enrica,in ria
informatics
iOS,iowas
Jessica
Jon
Kuentz,cotz
LaunchBar,launch bar
lifecycle,life cycle
macOS,macs
med
meds,mes
Minecraft
mini
Minio
N map,nmap
OneNote,one note
1Password,one password
paystub,paced up
paystub,paste up
Philips,phillips
popover,pop over
Radiant,radiant
Ruba
screenshot
setup,set up
Siff
sig
sigs
SlicerDicer,slicer dicer
SmartData,smart data
SmartGroup,smart group
SmartGroups,smart groups
SmartLink,smart link
SmartLinks,smart links
SmartList,smart list
SmartLists,smart lists
SmartPhrase,smart phrase
SmartPhrases,smart phrases
SmartSet,smart set
SmartSets,smart sets
SmartText,smart text
SmartTexts,smart texts
startup,start up
Tarabichi
unresulted
under documented,under-documented
Furrball,verbal
via
VPN
Webex
Willow Ambulatory,willow ambulatory
workqueue,work cue
workqueues,work use